Indice,Property Class,Tax Year,Town Code,Type of Residence,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Central Air,Fireplaces,Attic Type,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Site Desireability,Porch,Building Square Feet,Repair Condition,Number of Commercial Units,Sale Price,Multi Property Indicator,Full Baths,Age,Use,OHare Noise,Floodplain,Near Major Road,Location Factor,Garage indicator,Town and Neighborhood
4497,299,2018,38,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,149500.0,0,1.0,37,1,0.0,0.0,1.0,0.792606788164128,1.0,3813
44412,234,2019,22,4.0,3.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3,120.31,2.0,0.0,305000.0,0,1.0,62,1,0.0,0.0,0.0,0.96397725699148,1.0,22111
51852,202,2019,71,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3,51.1,2.0,0.0,140000.0,0,1.0,110,1,0.0,0.0,0.0,1.05878676230113,0.0,71250
43832,234,2019,22,4.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3,116.22,2.0,0.0,315000.0,0,1.0,55,1,0.0,0.0,0.0,0.893394189367023,1.0,2222
840,299,2018,29,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,135000.0,0,1.0,26,1,0.0,0.0,1.0,0.694115856720808,1.0,2922
28688,299,2018,24,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,159000.0,0,1.0,40,1,0.0,0.0,1.0,1.100472889094863,1.0,2432
14798,203,2018,18,1.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3,108.05,2.0,0.0,173000.0,0,1.0,54,1,0.0,0.0,0.0,0.488390219632766,1.0,1820
45582,204,2019,24,1.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,177.44,2.0,0.0,455000.0,0,1.0,63,1,0.0,0.0,0.0,1.24351252414846,1.0,2481
37666,205,2019,38,2.0,2.0,1.0,6.0,3.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3,121.98,2.0,0.0,160000.0,0,1.0,90,1,0.0,0.0,0.0,1.06816036270693,1.0,3870
12542,206,2018,23,2.0,2.0,1.0,8.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1,249.91,2.0,0.0,655000.0,0,4.0,67,1,0.0,0.0,0.0,2.592461759876457,1.0,2392
2293,299,2018,29,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,92000.0,0,1.0,43,1,0.0,0.0,1.0,0.779563345090584,1.0,2960
6878,278,2018,38,2.0,3.0,1.0,8.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3,222.6,2.0,0.0,350000.0,0,2.0,47,1,0.0,0.0,0.0,0.876722361385317,1.0,3870
22035,299,2018,16,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,122000.0,0,1.0,45,1,0.0,0.0,1.0,0.737614559149108,1.0,1612
706,234,2018,29,4.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,113.99,2.0,0.0,247000.0,0,2.0,48,1,0.0,0.0,0.0,0.66473673523628,1.0,2922
16741,295,2018,35,2.0,1.0,1.0,8.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3,109.25,2.0,0.0,170000.0,0,2.0,45,1,0.0,0.0,0.0,0.782122454428796,0.0,35109
41299,203,2019,35,1.0,1.0,1.0,7.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3,158.86,2.0,0.0,205379.0,0,1.0,58,1,0.0,0.0,0.0,0.650873818243644,1.0,3540
8508,278,2018,38,2.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3,318.1,2.0,0.0,760648.0,0,2.0,1,1,0.0,0.0,0.0,1.011270021026392,1.0,3870
